X,Y,Z
0.01,-0.02,0.92
0.0,-0.04,1.01
0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.02,0.95
0.0,-0.06,1.05
0.01,-0.09,1.07
0.02,-0.06,0.96
0.01,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.02,0.95
0.0,-0.06,1.06
0.0,-0.09,1.07
0.02,-0.06,0.96
0.01,-0.03,0.92
0.0,-0.04,1.0
0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.02,0.95
-0.0,-0.06,1.06
0.01,-0.09,1.07
0.02,-0.06,0.97
0.01,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.02,0.95
-0.0,-0.06,1.06
0.0,-0.09,1.07
0.01,-0.06,0.97
0.02,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.92
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.06,0.97
0.01,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.03,0.95
-0.0,-0.06,1.05
0.01,-0.08,1.05
0.01,-0.06,0.97
0.01,-0.03,0.92
0.0,-0.04,1.01
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.02,0.95
-0.0,-0.06,1.05
0.01,-0.09,1.07
0.02,-0.06,0.96
0.02,-0.02,0.92
0.0,-0.04,1.01
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.03,0.95
-0.0,-0.06,1.06
0.0,-0.09,1.07
0.01,-0.06,0.96
0.01,-0.03,0.92
0.0,-0.04,1.01
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.03,0.95
-0.0,-0.06,1.06
0.0,-0.09,1.07
0.02,-0.06,0.96
0.01,-0.03,0.91
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.03,0.95
-0.0,-0.06,1.06
0.0,-0.09,1.07
0.02,-0.06,0.97
0.01,-0.03,0.91
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.02,0.95
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.06,0.97
0.02,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.92
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.01,-0.09,1.07
0.02,-0.06,0.97
0.01,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.03,0.95
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.06,0.97
0.02,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.03,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.06,0.97
0.02,-0.03,0.92
0.0,-0.04,0.99
0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.92
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.07,0.97
0.02,-0.03,0.91
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.03,0.94
0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.06,0.97
0.01,-0.02,0.91
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.09,1.03
0.02,-0.04,0.93
0.01,-0.02,0.94
0.0,-0.06,1.05
0.0,-0.09,1.07
0.01,-0.06,0.97
0.01,-0.03,0.91
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.02
0.02,-0.04,0.92
0.01,-0.02,0.95
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.01,-0.07,0.97
0.02,-0.03,0.92
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.92
0.01,-0.02,0.95
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.07,0.97
0.01,-0.03,0.92
0.0,-0.04,1.0
0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.92
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.01,-0.09,1.06
0.01,-0.06,0.97
0.01,-0.03,0.92
-0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.03,0.94
-0.0,-0.06,1.05
0.01,-0.09,1.07
0.02,-0.06,0.97
0.02,-0.03,0.91
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.92
0.01,-0.03,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.06,0.97
0.02,-0.03,0.92
0.01,-0.04,0.99
0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.07,0.97
0.02,-0.03,0.91
0.0,-0.04,1.0
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.03,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.07,0.97
0.01,-0.03,0.92
0.0,-0.04,0.99
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.07,0.97
0.01,-0.02,0.91
0.0,-0.04,0.99
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.07,0.97
0.02,-0.03,0.92
0.0,-0.04,0.99
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.93
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.0,-0.09,1.07
0.02,-0.07,0.97
0.02,-0.03,0.92
0.0,-0.04,0.99
-0.0,-0.08,1.08
0.01,-0.08,1.03
0.02,-0.04,0.92
0.01,-0.02,0.94
-0.0,-0.06,1.05
0.01,-0.09,1.07
0.02,-0.06,0.97
0.02,-0.03,0.92
0.0,-0.04,1.0
